"File","Line","Comment"
"Reset-WidgetPosition.ps1","1","# Reset-WidgetPosition.ps1"
"Reset-WidgetPosition.ps1","2","# This script resets the widget launcher position to center screen"
"Reset-WidgetPosition.ps1","18","# Kill all widget processes"
"Start-Widgets.ps1","1","# Start-Widgets.ps1"
"Start-Widgets.ps1","2","# Main entry point for the Desktop Widgets application"
"Start-Widgets.ps1","3","# Run this script to start the widget launcher"
"Start-Widgets.ps1","10","# Cleanup existing widgets"
"Start-Widgets.ps1","14","# Start the Launcher"
"Start-Widgets.ps1","22","# If -Hidden, launch without visible window"
"Start-Widgets.ps1","32","# Run directly (useful for debugging)"
"Stop-Widgets.ps1","1","# Stop-Widgets.ps1"
"Stop-Widgets.ps1","2","# Stops all widget processes (Launcher, Clock, etc.)"
"Stop-Widgets.ps1","3","# Run this to close everything cleanly."
"desktop_icons.ps1","1","# core/desktop_icons.ps1"
"desktop_icons.ps1","2","# Desktop icon position tracking via Win32 ListView API"
"desktop_icons.ps1","3","# Requires: core/window_utils.ps1 to be loaded first"
"desktop_icons.ps1","4","# The DesktopIcons C# class is now defined in window_utils.ps1"
"desktop_icons.ps1","6","# PowerShell wrapper"
"grid_logic.ps1","1","# core/grid_logic.ps1"
"grid_logic.ps1","2","# Desktop grid calculation and slot-finding logic"
"grid_logic.ps1","3","# Pure functions - no UI dependencies"
"grid_logic.ps1","8","<#     .SYNOPSIS         Calculates grid metrics from desktop icon positions     .DESCRIPTION         Analyzes icon positions to determine grid spacing and offsets     #>"
"grid_logic.ps1","27","# Calculate average icon size"
"grid_logic.ps1","33","# Get system icon spacing"
"grid_logic.ps1","39","# Heuristic spacing detection from actual icons"
"grid_logic.ps1","44","# Find most common X gaps"
"grid_logic.ps1","52","# FIX: Clamp Grid Step to avoid massive gaps if desktop is sparse (Max 200px)"
"grid_logic.ps1","56","# Find most common Y gaps"
"grid_logic.ps1","64","# FIX: Clamp Grid Step for Y as well"
"grid_logic.ps1","73","# Calculate grid origin offset"
"grid_logic.ps1","77","# Normalize offsets to be within one step"
"grid_logic.ps1","94","# Check intersection"
"grid_logic.ps1","106","<#     .SYNOPSIS         Calculates the snap position for a widget given its current location     .DESCRIPTION         Finds the nearest valid grid cell that doesn't overlap an icon     #>"
"grid_logic.ps1","122","# Grid properties"
"grid_logic.ps1","128","# Calculate nearest grid column/row index (virtual)"
"grid_logic.ps1","129","# We add half step to round to nearest"
"grid_logic.ps1","133","# Calculate target pixel coordinates (Full Grid Snap)"
"grid_logic.ps1","137","# ----------------------------------------------------"
"grid_logic.ps1","138","# Peer Snapping (Snap to neighbors)"
"grid_logic.ps1","139","# ----------------------------------------------------"
"grid_logic.ps1","146","# Normalize properties (Handle both Rectangles and Hashtables)"
"grid_logic.ps1","154","# --- X Axis ---"
"grid_logic.ps1","155","# Snap My-Left to Peer-Right (Outer)"
"grid_logic.ps1","157","# Snap My-Right to Peer-Left (Outer)"
"grid_logic.ps1","159","# Snap My-Left to Peer-Left (Align)"
"grid_logic.ps1","161","# Snap My-Right to Peer-Right (Align)"
"grid_logic.ps1","164","# --- Y Axis ---"
"grid_logic.ps1","165","# Snap My-Top to Peer-Bottom (Outer)"
"grid_logic.ps1","167","# Snap My-Bottom to Peer-Top (Outer)"
"grid_logic.ps1","169","# Snap My-Top to Peer-Top (Align)"
"grid_logic.ps1","171","# Snap My-Bottom to Peer-Bottom (Align)"
"grid_logic.ps1","178","# ----------------------------------------------------"
"grid_logic.ps1","179","# VALIDATION (Overlap Check)"
"grid_logic.ps1","180","# ----------------------------------------------------"
"grid_logic.ps1","182","# Check 1: Overlap with Peers (Widgets)"
"grid_logic.ps1","200","# If Peer Snap caused overlap, try Grid Snap"
